"","county_fips","county_name","state","turnout_rate","totalvotes","CVAP_EST","TOT_EST"
"465","13217","NEWTON","GEORGIA",0.603470983674029,43987,72890,103900
"466","13219","OCONEE","GEORGIA",0.825271349580176,20149,24415,35070
"467","13221","OGLETHORPE","GEORGIA",0.596158999553372,6674,11195,14745
"468","13223","PAULDING","GEORGIA",0.619534084399465,64890,104740,149830
"469","13225","PEACH","GEORGIA",0.535992023928215,10752,20060,26905
"470","13227","PICKENS","GEORGIA",0.601199143468951,14038,23350,29990
"471","13229","PIERCE","GEORGIA",0.526539431040691,7311,13885,19030
"472","13231","PIKE","GEORGIA",0.657250470809793,8725,13275,17845
"473","13233","POLK","GEORGIA",0.4990345796033,14215,28485,41265
"474","13235","PULASKI","GEORGIA",0.389308855291577,3605,9260,11460
"475","13237","PUTNAM","GEORGIA",0.580838689929599,9488,16335,21260
"476","13239","QUITMAN","GEORGIA",0.621428571428571,1044,1680,2095
"477","13241","RABUN","GEORGIA",0.624618991793669,7992,12795,16310
"478","13243","RANDOLPH","GEORGIA",0.533885819521179,2899,5430,7225
"479","13245","RICHMOND","GEORGIA",0.502344919341427,75515,150325,201420
"480","13247","ROCKDALE","GEORGIA",0.617311924362214,37869,61345,87570
"481","13249","SCHLEY","GEORGIA",0.522298221614227,1909,3655,5090
"482","13251","SCREVEN","GEORGIA",0.526728110599078,5715,10850,14115
"483","13253","SEMINOLE","GEORGIA",0.535922330097087,3588,6695,8695
"484","13255","SPALDING","GEORGIA",0.543942439953444,25704,47255,64005
"485","13257","STEPHENS","GEORGIA",0.503591585428425,9815,19490,25585
"486","13259","STEWART","GEORGIA",0.627439024390244,2058,3280,5790
"487","13261","SUMTER","GEORGIA",0.479318628521511,10974,22895,31070
"488","13263","TALBOT","GEORGIA",0.62906976744186,3246,5160,6375
"489","13265","TALIAFERRO","GEORGIA",0.564150943396226,897,1590,1905
"490","13267","TATTNALL","GEORGIA",0.359906152241919,6903,19180,25260
"491","13269","TAYLOR","GEORGIA",0.522298850574713,3408,6525,8355
"492","13271","TELFAIR","GEORGIA",0.329370932754881,3796,11525,16405
"493","13273","TERRELL","GEORGIA",0.61064139941691,4189,6860,9130
"494","13275","THOMAS","GEORGIA",0.564455118583008,18802,33310,44975
"495","13277","TIFT","GEORGIA",0.489972432804962,14219,29020,40690
"496","13279","TOOMBS","GEORGIA",0.496765425387334,9138,18395,27160
"497","13281","TOWNS","GEORGIA",0.721108742004264,6764,9380,10975
"498","13283","TREUTLEN","GEORGIA",0.521814671814672,2703,5180,6710
"499","13285","TROUP","GEORGIA",0.522376713013904,26111,49985,69315
"500","13287","TURNER","GEORGIA",0.578875638841567,3398,5870,8150
"501","13289","TWIGGS","GEORGIA",0.607634730538922,4059,6680,8365
"502","13291","UNION","GEORGIA",0.664994487320838,12063,18140,22035
"503","13293","UPSON","GEORGIA",0.545881178232651,10934,20030,26395
"504","13295","WALKER","GEORGIA",0.45879536531648,23956,52215,68145
"505","13297","WALTON","GEORGIA",0.638700564971751,40698,63720,87435
"506","13299","WARE","GEORGIA",0.459513482934188,12184,26515,35670
"507","13301","WARREN","GEORGIA",0.547887323943662,2334,4260,5505
"508","13303","WASHINGTON","GEORGIA",0.535506329113924,8461,15800,20680
"509","13305","WAYNE","GEORGIA",0.47396449704142,10413,21970,30005
"510","13307","WEBSTER","GEORGIA",0.549753694581281,1116,2030,2670
"511","13309","WHEELER","GEORGIA",0.323882896764253,2102,6490,7930
"512","13311","WHITE","GEORGIA",0.540727189572376,11823,21865,28140
"513","13313","WHITFIELD","GEORGIA",0.492893890675241,30658,62200,103655
"514","13315","WILCOX","GEORGIA",0.423027718550107,2976,7035,8885
"515","13317","WILKES","GEORGIA",0.591820580474934,4486,7580,9925
"516","13319","WILKINSON","GEORGIA",0.603802816901408,4287,7100,9310
"517","13321","WORTH","GEORGIA",0.51957406827435,8295,15965,20990
"518","15001","HAWAII","HAWAII",0.45759937921061,64867,141755,193680
"519","15003","HONOLULU","HAWAII",0.407404239547249,285790,701490,987000
"520","15007","KAUAI","HAWAII",0.52717445701131,26335,49955,70445
"521","15009","MAUI","HAWAII",0.457907263751763,51945,113440,162455
"522","16001","ADA","IDAHO",0.637171513237162,195669,307090,425800
"523","16003","ADAMS","IDAHO",0.695222929936306,2183,3140,3865
"524","16005","BANNOCK","IDAHO",0.562748400134725,33416,59380,83815
"525","16007","BEAR LAKE","IDAHO",0.679350348027842,2928,4310,5930
"526","16009","BENEWAH","IDAHO",0.601725377426312,4185,6955,9070
"527","16011","BINGHAM","IDAHO",0.572782084409991,16625,29025,45260
"528","16013","BLAINE","IDAHO",0.731763903104742,10724,14655,21425
"529","16015","BOISE","IDAHO",0.684739676840215,3814,5570,6890
"530","16017","BONNER","IDAHO",0.64271904250422,20943,32585,41390
"531","16019","BONNEVILLE","IDAHO",0.615548440979955,44221,71840,108990
"532","16021","BOUNDARY","IDAHO",0.622798552472859,5163,8290,11140
"533","16023","BUTTE","IDAHO",0.608910891089109,1230,2020,2590
"534","16025","CAMAS","IDAHO",0.874074074074074,590,675,970
"535","16027","CANYON","IDAHO",0.550796473570699,72785,132145,202780
"536","16029","CARIBOU","IDAHO",0.641649048625793,3035,4730,6815
"537","16031","CASSIA","IDAHO",0.587078248384781,8178,13930,23440
"538","16033","CLARK","IDAHO",0.665882352941176,283,425,960
"539","16035","CLEARWATER","IDAHO",0.53049546406141,3801,7165,8530
"540","16037","CUSTER","IDAHO",0.714201183431953,2414,3380,4185
"541","16039","ELMORE","IDAHO",0.475027870680045,8522,17940,26105
"542","16041","FRANKLIN","IDAHO",0.666545454545455,5499,8250,13015
"543","16043","FREMONT","IDAHO",0.650540694365396,5715,8785,12895
"544","16045","GEM","IDAHO",0.636065573770492,7954,12505,16855
"545","16047","GOODING","IDAHO",0.556675603217158,5191,9325,15155
"546","16049","IDAHO","IDAHO",0.639953361834435,8233,12865,16250
"547","16051","JEFFERSON","IDAHO",0.678994082840237,11475,16900,27095
"548","16053","JEROME","IDAHO",0.519707467282525,6751,12990,22695
"549","16055","KOOTENAI","IDAHO",0.59356397976995,66310,111715,147715
