"","county_fips","county_name","state","turnout_rate","totalvotes","cvap_est","tot_est"
"112","05059","HOT SPRING","ARKANSAS",0.474924357034796,12557,26440,33595
"113","05061","HOWARD","ARKANSAS",0.521185983827493,4834,9275,13310
"114","05063","INDEPENDENCE","ARKANSAS",0.52257832193014,14512,27770,37425
"115","05065","IZARD","ARKANSAS",0.524841915085818,5810,11070,13570
"116","05067","JACKSON","ARKANSAS",0.374751564225248,5091,13585,17025
"117","05069","JEFFERSON","ARKANSAS",0.472229000469263,25158,53275,69280
"118","05071","JOHNSON","ARKANSAS",0.515775183274504,9498,18415,26370
"119","05073","LAFAYETTE","ARKANSAS",0.495652173913044,2679,5405,6800
"120","05075","LAWRENCE","ARKANSAS",0.459372549019608,5857,12750,16550
"121","05077","LEE","ARKANSAS",0.383569023569024,2848,7425,9195
"122","05079","LINCOLN","ARKANSAS",0.345057880676759,3875,11230,13455
"123","05081","LITTLE RIVER","ARKANSAS",0.539551849921834,5177,9595,12345
"124","05083","LOGAN","ARKANSAS",0.489874925550923,8225,16790,21670
"125","05085","LONOKE","ARKANSAS",0.578201018291533,30662,53030,72530
"126","05087","MADISON","ARKANSAS",0.603778234086242,7351,12175,16210
"127","05089","MARION","ARKANSAS",0.560762331838565,7503,13380,16475
"128","05091","MILLER","ARKANSAS",0.505242243619135,16529,32715,43570
"129","05093","MISSISSIPPI","ARKANSAS",0.403399248243177,12342,30595,42125
"130","05095","MONROE","ARKANSAS",0.50556552962298,2816,5570,7050
"131","05097","MONTGOMERY","ARKANSAS",0.544342937456079,3873,7115,8950
"132","05099","NEVADA","ARKANSAS",0.52062015503876,3358,6450,8350
"133","05101","NEWTON","ARKANSAS",0.643800322061192,3998,6210,7810
"134","05103","OUACHITA","ARKANSAS",0.526318666302268,9629,18295,23830
"135","05105","PERRY","ARKANSAS",0.578736710444028,4627,7995,10355
"136","05107","PHILLIPS","ARKANSAS",0.452155016298443,6242,13805,18605
"137","05109","PIKE","ARKANSAS",0.519706242350061,4246,8170,10755
"138","05111","POINSETT","ARKANSAS",0.416906873614191,7521,18040,23895
"139","05113","POLK","ARKANSAS",0.572681281618887,8490,14825,20095
"140","05115","POPE","ARKANSAS",0.520549696388623,24432,46935,63760
"141","05117","PRAIRIE","ARKANSAS",0.534812547819434,3495,6535,8190
"142","05119","PULASKI","ARKANSAS",0.587656028491408,169956,289210,392965
"143","05121","RANDOLPH","ARKANSAS",0.507600596125186,6812,13420,17695
"144","05123","ST. FRANCIS","ARKANSAS",0.362375732857507,7108,19615,25900
"145","05125","SALINE","ARKANSAS",0.635738601484458,56959,89595,119415
"146","05127","SCOTT","ARKANSAS",0.459974093264249,3551,7720,10375
"147","05129","SEARCY","ARKANSAS",0.641500399042298,4019,6265,7910
"148","05131","SEBASTIAN","ARKANSAS",0.519277373870897,47140,90780,127590
"149","05133","SEVIER","ARKANSAS",0.517354549975137,5202,10055,17080
"150","05135","SHARP","ARKANSAS",0.562109955423477,7566,13460,17140
"151","05137","STONE","ARKANSAS",0.592319201995012,5938,10025,12475
"152","05139","UNION","ARKANSAS",0.564096467391304,16607,29440,39450
"153","05141","VAN BUREN","ARKANSAS",0.592561669829222,7807,13175,16640
"154","05143","WASHINGTON","ARKANSAS",0.594831992427828,94266,158475,232290
"155","05145","WHITE","ARKANSAS",0.525344446334411,30885,58790,78760
"156","05147","WOODRUFF","ARKANSAS",0.485490196078431,2476,5100,6535
"157","05149","YELL","ARKANSAS",0.457792869269949,6741,14725,21465
"158","06001","ALAMEDA","CALIFORNIA",0.71062612467125,770070,1083650,1656755
"159","06003","ALPINE","CALIFORNIA",0.90920245398773,741,815,1040
"160","06005","AMADOR","CALIFORNIA",0.703596214511041,22304,31700,38430
"161","06007","BUTTE","CALIFORNIA",0.589499826729814,102066,173140,225815
"162","06009","CALAVERAS","CALIFORNIA",0.737250644592211,27164,36845,45515
"163","06011","COLUSA","CALIFORNIA",0.643833400727861,7961,12365,21455
"164","06013","CONTRA COSTA","CALIFORNIA",0.763864287403748,581316,761020,1142250
"165","06015","DEL NORTE","CALIFORNIA",0.556511175898931,11453,20580,27495
"166","06017","EL DORADO","CALIFORNIA",0.807444737939664,116159,143860,188565
"167","06019","FRESNO","CALIFORNIA",0.619679731014808,364917,588880,984520
"168","06021","GLENN","CALIFORNIA",0.653005780346821,11297,17300,27975
"169","06023","HUMBOLDT","CALIFORNIA",0.647477075005878,68843,106325,135940
"170","06025","IMPERIAL","CALIFORNIA",0.546209751167156,56743,103885,180700
"171","06027","INYO","CALIFORNIA",0.697096655641308,9484,13605,17975
"172","06029","KERN","CALIFORNIA",0.585007473268693,305292,521860,887640
"173","06031","KINGS","CALIFORNIA",0.470662088206889,43861,93190,150690
"174","06033","LAKE","CALIFORNIA",0.600750625521268,28812,47960,64195
"175","06035","LASSEN","CALIFORNIA",0.478141204627044,11987,25070,30820
"176","06037","LOS ANGELES","CALIFORNIA",0.674817641552802,4264365,6319285,10081570
"177","06039","MADERA","CALIFORNIA",0.584615384615385,53732,91910,155435
"178","06041","MARIN","CALIFORNIA",0.841278410624629,155830,185230,259945
"179","06043","MARIPOSA","CALIFORNIA",0.729078014184397,10280,14100,17420
"180","06045","MENDOCINO","CALIFORNIA",0.696896607171571,43340,62190,87225
"181","06047","MERCED","CALIFORNIA",0.603070160833805,90554,150155,271380
"182","06049","MODOC","CALIFORNIA",0.641980783444198,4343,6765,8905
"183","06051","MONO","CALIFORNIA",0.683020780537253,6738,9865,14310
"184","06053","MONTEREY","CALIFORNIA",0.706960796998318,163923,231870,433410
"185","06055","NAPA","CALIFORNIA",0.755062529433311,72150,95555,139625
"186","06057","NEVADA","CALIFORNIA",0.808213193534294,64750,80115,99245
"187","06059","ORANGE","CALIFORNIA",0.738728433109272,1522113,2060450,3168045
"188","06061","PLACER","CALIFORNIA",0.824639130053495,235084,285075,385510
"189","06063","PLUMAS","CALIFORNIA",0.739330269205515,11260,15230,18660
"190","06065","RIVERSIDE","CALIFORNIA",0.640938439041635,997156,1555775,2411440
"191","06067","SACRAMENTO","CALIFORNIA",0.689597581167663,718440,1041825,1524555
"192","06069","SAN BENITO","CALIFORNIA",0.752152361074876,28830,38330,60375
"193","06071","SAN BERNARDINO","CALIFORNIA",0.61654895895562,841130,1364255,2149030
"194","06073","SAN DIEGO","CALIFORNIA",0.707098155176979,1602143,2265800,3316075
"195","06075","SAN FRANCISCO","CALIFORNIA",0.679826806651851,443553,652450,874960
"196","06077","SAN JOAQUIN","CALIFORNIA",NA,NA,458995,742605
"197","06079","SAN LUIS OBISPO","CALIFORNIA",0.730087767416347,159714,218760,282165
"198","06081","SAN MATEO","CALIFORNIA",0.746285531970049,374251,501485,767425
"199","06083","SANTA BARBARA","CALIFORNIA",0.710585773316545,200339,281935,444830
"200","06085","SANTA CLARA","CALIFORNIA",0.723954796490601,850741,1175130,1927470
"201","06087","SANTA CRUZ","CALIFORNIA",0.750995540806803,144837,192860,273960
"202","06089","SHASTA","CALIFORNIA",0.682255341017546,92930,136210,179210
"203","06091","SIERRA","CALIFORNIA",0.770858283433134,1931,2505,3040
"204","06093","SISKIYOU","CALIFORNIA",0.695260663507109,23472,33760,43470
"205","06095","SOLANO","CALIFORNIA",0.666053057263022,205877,309100,441830
"206","06097","SONOMA","CALIFORNIA",0.750894131475107,268317,357330,499770
"207","06099","STANISLAUS","CALIFORNIA",0.633269992782123,214954,339435,543195
"208","06101","SUTTER","CALIFORNIA",0.69656974844822,42644,61220,96110
"209","06103","TEHAMA","CALIFORNIA",0.626152337365152,28731,45885,63910
"210","06105","TRINITY","CALIFORNIA",0.612127139364303,6259,10225,12700
